date,daily_pnl,pnl_histogram_bins
2026-05-04,-542.7,NA_engineering_v1
2026-05-05,-45.24,NA_engineering_v1
2026-05-06,11.79,NA_engineering_v1
2026-05-07,-7.4,NA_engineering_v1
2026-05-10,499.69,NA_engineering_v1
2026-05-11,-1528.06,NA_engineering_v1
2026-05-12,35.92,NA_engineering_v1
2026-05-13,118.42,NA_engineering_v1
2026-05-14,-193.98,NA_engineering_v1
2026-05-15,-244.27,NA_engineering_v1
2026-05-16,-0.21,NA_engineering_v1
2026-05-18,-185.17,NA_engineering_v1
