ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state,pnl_net_fx,is_win,churn_flag,equity,dd,dd_pct
2016-05-24 01:00:00,2016-05-24 08:00:00,25200.0,buy,0.005,1249.3,1242.7,-3.2999999999999545,0.125,0.025,0.035,0.0219,0.2069,-3.5068999999999546,STOP_LOSS,-0.3759421526235627,AUDITED,-3.5068999999999546,False,False,9996.4931,0.0,0.0
2016-06-24 05:00:00,2016-06-24 07:00:00,7200.0,buy,0.005,1336.7,1319.5,-8.600000000000023,0.125,0.025,0.035,0.0062,0.1913,-8.791300000000023,STOP_LOSS,2.380302094463492,AUDITED,-8.791300000000023,False,False,9987.7018,8.791299999998955,0.08794384102559882
2016-07-04 05:00:00,2016-07-12 00:00:00,673200.0,buy,0.005,1345.7,1333.02,-6.340000000000032,0.125,0.025,0.035,0.5844,0.7694,-7.109400000000032,STOP_LOSS,-0.5459848459422563,AUDITED,-7.109400000000032,False,False,9980.5924,15.900700000000143,0.15906278172692526
2016-07-20 01:00:00,2016-07-20 09:00:00,28800.0,buy,0.005,1332.6,1327.1,-2.75,0.125,0.025,0.035,0.025,0.21,-2.96,STOP_LOSS,-0.8352737818186231,AUDITED,-2.96,False,False,9977.6324,18.86069999999927,0.18867316579250448
2016-07-27 21:00:00,2016-07-28 00:00:00,10800.0,buy,0.005,1341.0,1335.31,-2.8450000000000277,0.125,0.025,0.035,0.0094,0.1944,-3.039400000000027,STOP_LOSS,0.6451556885659653,AUDITED,-3.039400000000027,False,False,9974.593,21.90009999999893,0.21907782840363219
2016-09-21 01:00:00,2016-10-04 00:00:00,1119600.0,buy,0.005,1315.9,1267.86,-24.020000000000092,0.125,0.025,0.035,0.9719,1.1569,-25.176900000000096,STOP_LOSS,-6.683825571463277,AUDITED,-25.176900000000096,False,False,9949.4161,47.076999999999316,0.4709351522485352
2016-10-18 01:00:00,2016-11-11 00:00:00,2070000.0,buy,0.005,1255.81,1226.92,-14.444999999999936,0.125,0.025,0.035,1.7969,1.9819,-16.426899999999936,STOP_LOSS,0.5196067138307113,AUDITED,-16.426899999999936,False,False,9932.9892,63.5038999999997,0.635261779953609
