time,open,high,low,close,volume
2026-02-27 23:30:00,1.181510,1.181760,1.181480,1.181480,93
2026-02-27 23:35:00,1.181490,1.181490,1.181260,1.181300,82
2026-02-27 23:40:00,1.181320,1.181320,1.181130,1.181170,61
2026-02-27 23:45:00,1.181160,1.181300,1.181150,1.181260,104
2026-02-27 23:50:00,1.181270,1.181490,1.181170,1.181250,214
2026-02-27 23:55:00,1.181250,1.181820,1.180940,1.181420,556
2026-03-02 00:00:00,1.177340,1.177370,1.176740,1.176930,70
2026-03-02 00:05:00,1.176920,1.177000,1.176580,1.176610,136
2026-03-02 00:10:00,1.176580,1.176780,1.176500,1.176510,77
2026-03-02 00:15:00,1.176520,1.176540,1.175840,1.175860,150
2026-03-02 00:20:00,1.175870,1.176410,1.175860,1.176350,98
2026-03-02 00:25:00,1.176430,1.176430,1.176170,1.176240,42
2026-03-02 00:30:00,1.176250,1.176970,1.176250,1.176520,145
2026-03-02 00:35:00,1.176510,1.176640,1.176400,1.176410,108
2026-03-02 00:40:00,1.176400,1.177280,1.176400,1.177270,175
2026-03-02 00:45:00,1.177280,1.177490,1.177280,1.177490,106
2026-03-02 00:50:00,1.177490,1.177840,1.177490,1.177780,89
2026-03-02 00:55:00,1.177780,1.177810,1.177470,1.177520,88
2026-03-02 01:00:00,1.177200,1.177920,1.176720,1.177860,449
2026-03-02 01:05:00,1.177870,1.178760,1.177800,1.178540,253
2026-03-02 01:10:00,1.178530,1.178700,1.177560,1.177790,387
2026-03-02 01:15:00,1.177730,1.177900,1.177200,1.177310,497
2026-03-02 01:20:00,1.177300,1.177400,1.176740,1.176880,512
2026-03-02 01:25:00,1.176890,1.177220,1.176080,1.176280,518
2026-03-02 01:30:00,1.176290,1.176630,1.175770,1.176320,624
2026-03-02 01:35:00,1.176330,1.176500,1.175870,1.176150,505
2026-03-02 01:40:00,1.176140,1.176650,1.176090,1.176650,488
2026-03-02 01:45:00,1.176640,1.176750,1.175910,1.175920,415
2026-03-02 01:50:00,1.175960,1.176170,1.175700,1.175990,295
2026-03-02 01:55:00,1.175980,1.176090,1.175810,1.175930,275
2026-03-02 02:00:00,1.175960,1.176180,1.175620,1.175950,442
2026-03-02 02:05:00,1.175990,1.176730,1.175780,1.176640,443
