signal_name,timestamp_utc,log_time_assumption,log_timestamp_offset_hours_applied,direction,strength,asset,timeframe,position_ticket,provenance,source_file
SEM_FONTE,2026-05-05 02:27:47,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,CHFJPY,H1,182953666,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:28:39,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,CHFJPY,H1,182953586,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:30:55,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,H1,182928239,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:30:55,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,H1,182928249,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:31:41,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,NZDUSD,H1,182925825,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:39:09,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,H1,182935700,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 02:39:09,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,H1,182935717,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 03:02:57,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,M15,182976031,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 03:02:57,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,M15,182976049,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 03:03:50,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,CHFJPY,H1,182964084,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 03:46:20,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,H1,182957357,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
