0
"(1774317660, 69.604, 69.648, 69.57, 69.626, 95, 57, 0)"
"(1774317720, 69.624, 69.625, 69.579, 69.603, 76, 55, 0)"
"(1774317780, 69.603, 69.608, 69.564, 69.567, 67, 53, 0)"
"(1774317840, 69.568, 69.571, 69.508, 69.539, 92, 52, 0)"
"(1774317900, 69.538, 69.661, 69.525, 69.646, 81, 54, 0)"
"(1774317960, 69.645, 69.674, 69.621, 69.636, 105, 55, 0)"
"(1774318020, 69.638, 69.769, 69.635, 69.75, 131, 56, 0)"
"(1774318080, 69.75, 69.759, 69.63, 69.699, 120, 57, 0)"
"(1774318140, 69.699, 69.701, 69.607, 69.64, 94, 55, 0)"
"(1774318200, 69.64, 69.68, 69.615, 69.615, 116, 53, 0)"
"(1774318260, 69.631, 69.659, 69.548, 69.561, 96, 51, 0)"
"(1774318320, 69.564, 69.626, 69.562, 69.613, 85, 53, 0)"
"(1774318380, 69.616, 69.75, 69.611, 69.742, 102, 52, 0)"
"(1774318440, 69.742, 69.777, 69.72, 69.75, 100, 51, 0)"
"(1774318500, 69.75, 69.93, 69.745, 69.929, 101, 50, 0)"
"(1774318560, 69.929, 69.991, 69.924, 69.982, 122, 58, 0)"
"(1774318620, 69.982, 70.046, 69.957, 70.046, 125, 56, 0)"
"(1774318680, 70.044, 70.073, 69.943, 69.963, 131, 57, 0)"
"(1774318740, 69.963, 69.963, 69.875, 69.876, 83, 52, 0)"
"(1774318800, 69.865, 69.888, 69.795, 69.876, 87, 49, 0)"
"(1774318860, 69.876, 69.877, 69.773, 69.854, 82, 54, 0)"
"(1774318920, 69.853, 69.88, 69.808, 69.819, 101, 53, 0)"
"(1774318980, 69.818, 69.852, 69.806, 69.826, 82, 47, 0)"
"(1774319040, 69.827, 70.027, 69.827, 70.027, 116, 48, 0)"
"(1774319100, 70.027, 70.08, 70.011, 70.026, 119, 65, 0)"
"(1774319160, 70.024, 70.086, 70.024, 70.06, 115, 60, 0)"
"(1774319220, 70.059, 70.102, 70.051, 70.06, 100, 51, 0)"
"(1774319280, 70.061, 70.081, 69.93, 69.935, 113, 50, 0)"
"(1774319340, 69.927, 69.982, 69.903, 69.942, 95, 48, 0)"
"(1774319400, 69.943, 69.943, 69.846, 69.925, 117, 47, 0)"
"(1774319460, 69.925, 69.99, 69.917, 69.98, 97, 43, 0)"
"(1774319520, 69.979, 69.991, 69.952, 69.977, 84, 40, 0)"
"(1774319580, 69.975, 70.027, 69.975, 70.026, 98, 39, 0)"
"(1774319640, 70.026, 70.03, 69.993, 70.007, 52, 39, 0)"
"(1774319700, 70.006, 70.019, 69.904, 69.904, 78, 39, 0)"
"(1774319760, 69.9, 69.921, 69.885, 69.909, 97, 43, 0)"
"(1774319820, 69.909, 69.914, 69.639, 69.668, 139, 42, 0)"
