0
"(1774317660, 4427.42, 4429.65, 4425.37, 4427.79, 344, 12, 0)"
"(1774317720, 4427.78, 4428.26, 4426.61, 4427.9, 192, 12, 0)"
"(1774317780, 4427.89, 4427.98, 4426.34, 4427.19, 168, 12, 0)"
"(1774317840, 4427.21, 4427.96, 4425.52, 4426.48, 228, 12, 0)"
"(1774317900, 4426.47, 4428.38, 4425.49, 4428.27, 254, 12, 0)"
"(1774317960, 4428.26, 4430.92, 4427.72, 4430.57, 241, 12, 0)"
"(1774318020, 4430.58, 4437.48, 4430.58, 4437.23, 404, 12, 0)"
"(1774318080, 4437.24, 4437.29, 4431.92, 4434.94, 322, 12, 0)"
"(1774318140, 4434.88, 4434.88, 4431.5, 4432.96, 243, 12, 0)"
"(1774318200, 4432.98, 4434.29, 4432.31, 4432.59, 296, 12, 0)"
"(1774318260, 4432.61, 4433.37, 4430.12, 4430.73, 263, 12, 0)"
"(1774318320, 4430.85, 4432.92, 4430.8, 4432.3, 239, 12, 0)"
"(1774318380, 4432.39, 4437.15, 4432.23, 4436.8, 263, 12, 0)"
"(1774318440, 4437.08, 4437.79, 4435.66, 4435.93, 218, 12, 0)"
"(1774318500, 4435.9, 4440.56, 4435.5, 4440.56, 218, 12, 0)"
"(1774318560, 4440.5, 4442.33, 4439.03, 4440.96, 297, 12, 0)"
"(1774318620, 4440.98, 4444.39, 4439.68, 4444.34, 293, 12, 0)"
"(1774318680, 4444.35, 4444.66, 4440.18, 4440.4, 302, 12, 0)"
"(1774318740, 4440.08, 4440.08, 4437., 4437.02, 191, 12, 0)"
"(1774318800, 4436.95, 4437.48, 4433.7, 4437.11, 250, 12, 0)"
"(1774318860, 4437.1, 4437.79, 4434.41, 4437.6, 234, 12, 0)"
"(1774318920, 4437.39, 4438.55, 4435.91, 4435.96, 219, 12, 0)"
"(1774318980, 4435.97, 4436.87, 4435.76, 4436.01, 101, 12, 0)"
"(1774319040, 4436.16, 4444.47, 4436.16, 4444.13, 301, 12, 0)"
"(1774319100, 4444.12, 4444.76, 4442.05, 4442.6, 283, 12, 0)"
"(1774319160, 4442.51, 4445.82, 4442.49, 4445.32, 269, 12, 0)"
"(1774319220, 4445.3, 4448.3, 4445.16, 4445.36, 226, 12, 0)"
"(1774319280, 4445.38, 4446.15, 4441.53, 4441.59, 247, 12, 0)"
"(1774319340, 4441.51, 4442.92, 4440.66, 4441.9, 218, 12, 0)"
