time,open,high,low,close,volume
2026-03-02 01:05:00,24888.450000,25011.350000,24885.350000,24996.650000,807
2026-03-02 01:10:00,24996.350000,25019.150000,24987.450000,24992.050000,725
2026-03-02 01:15:00,24994.150000,25003.850000,24976.350000,24991.750000,418
2026-03-02 01:20:00,24991.950000,25006.650000,24981.950000,24986.650000,387
2026-03-02 01:25:00,24986.850000,24995.650000,24975.050000,24986.450000,392
2026-03-02 01:30:00,24986.650000,24987.950000,24968.950000,24971.850000,413
2026-03-02 01:35:00,24971.350000,24978.850000,24967.950000,24978.850000,412
2026-03-02 01:40:00,24978.650000,24989.450000,24972.950000,24985.350000,392
2026-03-02 01:45:00,24987.650000,24994.050000,24977.650000,24980.650000,439
2026-03-02 01:50:00,24981.250000,24983.250000,24955.250000,24955.450000,343
2026-03-02 01:55:00,24956.050000,24968.750000,24955.450000,24964.150000,365
2026-03-02 02:15:00,24871.300000,24873.400000,24838.900000,24864.400000,114
2026-03-02 02:20:00,24866.400000,24866.400000,24840.900000,24851.400000,105
2026-03-02 02:25:00,24852.900000,24866.400000,24845.400000,24863.900000,130
2026-03-02 02:30:00,24862.900000,24865.900000,24844.900000,24848.400000,71
2026-03-02 02:35:00,24846.900000,24878.900000,24841.900000,24878.900000,99
2026-03-02 02:40:00,24875.400000,24902.400000,24875.400000,24899.400000,76
2026-03-02 02:45:00,24900.900000,24925.900000,24900.400000,24914.900000,126
2026-03-02 02:50:00,24915.900000,24917.900000,24901.900000,24917.900000,172
2026-03-02 02:55:00,24922.400000,24935.400000,24913.900000,24930.900000,154
2026-03-02 03:00:00,24927.400000,24975.400000,24927.400000,24963.400000,268
2026-03-02 03:05:00,24960.900000,24995.900000,24960.900000,24988.400000,305
2026-03-02 03:10:00,24987.900000,25016.400000,24986.900000,25003.400000,370
2026-03-02 03:15:00,25004.400000,25005.900000,24971.400000,24984.900000,309
2026-03-02 03:20:00,24983.400000,24986.900000,24973.400000,24977.400000,253
2026-03-02 03:25:00,24977.900000,24987.900000,24975.900000,24985.900000,218
2026-03-02 03:30:00,24984.900000,24997.900000,24973.400000,24992.400000,310
2026-03-02 03:35:00,24993.900000,25002.900000,24986.900000,25000.900000,275
2026-03-02 03:40:00,25000.400000,25008.900000,24986.900000,24987.400000,198
2026-03-02 03:45:00,24984.400000,24988.400000,24970.900000,24973.400000,187
2026-03-02 03:50:00,24972.400000,24974.400000,24963.900000,24968.400000,122
2026-03-02 03:55:00,24967.900000,24973.400000,24958.400000,24961.400000,183
2026-03-02 04:00:00,24961.900000,24967.900000,24956.400000,24965.900000,237
2026-03-02 04:05:00,24964.900000,24964.900000,24915.400000,24917.400000,229
2026-03-02 04:10:00,24917.900000,24917.900000,24872.400000,24883.900000,248
2026-03-02 04:15:00,24884.400000,24895.900000,24877.900000,24885.400000,103
2026-03-02 04:20:00,24881.900000,24911.400000,24877.900000,24894.400000,188
2026-03-02 04:25:00,24892.900000,24901.900000,24890.900000,24893.900000,128
2026-03-02 04:30:00,24895.400000,24921.400000,24883.900000,24918.900000,130
2026-03-02 04:35:00,24919.400000,24928.900000,24913.400000,24924.900000,105
2026-03-02 04:40:00,24925.400000,24931.400000,24911.900000,24927.400000,153
2026-03-02 04:45:00,24924.900000,24932.900000,24920.400000,24920.900000,136
2026-03-02 04:50:00,24921.400000,24924.400000,24903.400000,24910.900000,125
2026-03-02 04:55:00,24909.900000,24936.900000,24904.400000,24935.400000,187
2026-03-02 05:00:00,24934.400000,24939.400000,24923.900000,24930.400000,152
2026-03-02 05:05:00,24927.900000,24927.900000,24909.900000,24924.400000,114
2026-03-02 05:10:00,24923.900000,24931.900000,24922.400000,24925.900000,87
2026-03-02 05:15:00,24929.400000,24937.900000,24922.400000,24937.400000,92
2026-03-02 05:20:00,24940.400000,24942.400000,24921.900000,24938.400000,129
2026-03-02 05:25:00,24934.400000,24942.400000,24930.400000,24942.400000,101
2026-03-02 05:30:00,24943.400000,24943.400000,24924.400000,24926.400000,146
2026-03-02 05:35:00,24923.900000,24939.400000,24923.900000,24933.900000,141
2026-03-02 05:40:00,24930.900000,24944.900000,24926.900000,24940.900000,108
2026-03-02 05:45:00,24941.400000,24959.900000,24932.900000,24954.900000,121
2026-03-02 05:50:00,24955.400000,24961.400000,24950.400000,24954.400000,136
2026-03-02 05:55:00,24953.900000,24955.900000,24946.900000,24951.400000,105
2026-03-02 06:00:00,24950.900000,24964.400000,24947.900000,24962.400000,125
2026-03-02 06:05:00,24961.400000,24969.900000,24959.900000,24968.900000,82
2026-03-02 06:10:00,24966.400000,24968.400000,24956.900000,24960.900000,131
2026-03-02 06:15:00,24961.400000,24969.400000,24941.900000,24941.900000,123
2026-03-02 06:20:00,24943.400000,24950.400000,24917.900000,24945.400000,210
2026-03-02 06:25:00,24944.900000,24959.900000,24938.400000,24955.900000,144
2026-03-02 06:30:00,24954.900000,24968.400000,24949.900000,24960.900000,161
2026-03-02 06:35:00,24959.400000,24968.900000,24952.900000,24960.400000,87
2026-03-02 06:40:00,24960.900000,24976.400000,24942.400000,24947.900000,108
2026-03-02 06:45:00,24944.900000,24949.400000,24933.400000,24940.900000,115
2026-03-02 06:50:00,24940.400000,24940.900000,24922.900000,24922.900000,115
2026-03-02 06:55:00,24921.400000,24926.900000,24915.900000,24920.900000,75
2026-03-02 07:00:00,24919.400000,24940.900000,24918.400000,24921.400000,157
2026-03-02 07:05:00,24919.400000,24924.400000,24907.400000,24909.900000,149
2026-03-02 07:10:00,24912.900000,24929.400000,24911.400000,24915.900000,131
2026-03-02 07:15:00,24918.400000,24937.900000,24915.900000,24932.400000,101
2026-03-02 07:20:00,24932.900000,24938.900000,24917.400000,24922.900000,146
2026-03-02 07:25:00,24921.900000,24945.900000,24917.900000,24932.900000,143
2026-03-02 07:30:00,24933.400000,24944.400000,24924.900000,24925.900000,78
2026-03-02 07:35:00,24927.400000,24931.400000,24903.900000,24907.900000,114
2026-03-02 07:40:00,24905.400000,24914.900000,24900.900000,24911.400000,74
2026-03-02 07:45:00,24908.400000,24917.900000,24906.900000,24908.400000,39
2026-03-02 07:50:00,24908.900000,24908.900000,24871.900000,24871.900000,106
2026-03-02 07:55:00,24872.900000,24875.900000,24843.900000,24846.400000,144
2026-03-02 08:00:00,24847.400000,24866.400000,24847.400000,24855.900000,82
2026-03-02 08:05:00,24856.900000,24871.400000,24844.400000,24864.900000,142
2026-03-02 08:10:00,24861.900000,24871.400000,24856.400000,24865.900000,106
2026-03-02 08:15:00,24866.400000,24880.900000,24840.400000,24840.900000,151
2026-03-02 08:20:00,24839.900000,24847.400000,24802.400000,24810.400000,269
2026-03-02 08:25:00,24809.900000,24835.900000,24807.400000,24833.400000,223
2026-03-02 08:30:00,24837.900000,24837.900000,24791.400000,24805.400000,229
2026-03-02 08:35:00,24805.900000,24807.900000,24790.900000,24790.900000,127
2026-03-02 08:40:00,24789.900000,24797.400000,24772.400000,24773.400000,207
2026-03-02 08:45:00,24773.900000,24786.900000,24745.400000,24751.400000,304
2026-03-02 08:50:00,24749.900000,24782.400000,24727.900000,24779.400000,264
2026-03-02 08:55:00,24778.400000,24795.900000,24771.400000,24784.900000,267
2026-03-02 09:00:00,24786.900000,24789.400000,24745.900000,24764.900000,330
2026-03-02 09:05:00,24762.400000,24763.400000,24673.500000,24689.900000,351
2026-03-02 09:10:00,24689.400000,24737.400000,24687.400000,24722.400000,410
2026-03-02 09:15:00,24725.400000,24764.400000,24725.400000,24732.400000,336
2026-03-02 09:20:00,24732.900000,24792.400000,24709.400000,24773.900000,355
2026-03-02 09:25:00,24772.900000,24781.900000,24740.900000,24740.900000,308
2026-03-02 09:30:00,24741.400000,24768.400000,24730.400000,24743.900000,320
2026-03-02 09:35:00,24744.400000,24754.900000,24718.400000,24734.900000,299
2026-03-02 09:40:00,24736.400000,24745.900000,24719.400000,24743.400000,261
2026-03-02 09:45:00,24743.900000,24743.900000,24705.400000,24712.400000,297
2026-03-02 09:50:00,24711.400000,24729.900000,24709.900000,24715.400000,331
2026-03-02 09:55:00,24713.900000,24715.900000,24676.400000,24705.900000,489
2026-03-02 10:00:00,24703.900000,24730.100000,24665.100000,24700.600000,1103
2026-03-02 10:05:00,24699.600000,24782.600000,24687.100000,24693.600000,1100
2026-03-02 10:10:00,24693.100000,24739.100000,24645.100000,24727.100000,898
2026-03-02 10:15:00,24724.600000,24740.100000,24665.100000,24698.100000,925
2026-03-02 10:20:00,24698.600000,24734.600000,24675.100000,24708.100000,910
2026-03-02 10:25:00,24709.100000,24756.100000,24688.600000,24707.100000,735
2026-03-02 10:30:00,24704.100000,24744.600000,24691.600000,24719.600000,863
2026-03-02 10:35:00,24719.100000,24777.600000,24716.100000,24770.600000,832
2026-03-02 10:40:00,24771.100000,24785.100000,24746.100000,24779.100000,683
2026-03-02 10:45:00,24778.600000,24810.100000,24756.600000,24786.600000,654
2026-03-02 10:50:00,24792.200000,24822.200000,24789.200000,24815.200000,593
2026-03-02 10:55:00,24815.700000,24818.200000,24755.700000,24762.200000,616
2026-03-02 11:00:00,24763.200000,24781.200000,24728.700000,24729.200000,835
