timestamp_utc,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
2026-05-04 00:05:00,182298963,2026-05-04T00:05:00+00:00,1777853100913,2026-05-04T00:05:00+00:00,1777853100913,1970-01-01T00:00:00+00:00,0,0,1,4,234001,182235357,0,4,0.25,0.0,1.35788,0.0,0.0,1.35788,0.0,GBPUSD,[sl 1.35788],
2026-05-04 00:05:00,182298964,2026-05-04T00:05:00+00:00,1777853100913,2026-05-04T00:05:00+00:00,1777853100914,1970-01-01T00:00:00+00:00,0,0,1,4,234001,182235359,0,4,0.25,0.0,0.72118,0.0,0.0,0.72118,0.0,AUDUSD,[sl 0.72118],
2026-05-04 00:05:01,182299023,2026-05-04T00:05:01+00:00,1777853101349,2026-05-04T00:05:01+00:00,1777853101349,1970-01-01T00:00:00+00:00,1,0,1,4,0,182298840,0,4,0.1,0.0,1.39115,0.0,0.0,1.39115,0.0,XRPUSD,[sl 1.39115],
2026-05-04 00:05:01,182299058,2026-05-04T00:05:01+00:00,1777853101915,2026-05-04T00:05:01+00:00,1777853101918,1970-01-01T00:00:00+00:00,0,0,1,4,234001,182235360,0,4,0.25,0.0,1.17257,0.0,0.0,1.17257,0.0,EURUSD,[sl 1.17257],
2026-05-04 00:07:52,182300009,2026-05-04T00:07:52+00:00,1777853272453,2026-05-04T00:07:52+00:00,1777853272453,1970-01-01T00:00:00+00:00,0,0,1,4,0,182300009,0,3,0.1,0.0,0.0,78967.8,79561.86,78984.3,0.0,BTCUSD,OV2|206939|H1|B,
2026-05-04 00:08:26,182300069,2026-05-04T00:08:26+00:00,1777853306472,2026-05-04T00:08:26+00:00,1777853306472,1970-01-01T00:00:00+00:00,1,0,1,4,0,182300069,0,3,0.1,0.0,0.0,1.39677,1.3768,1.3933,0.0,XRPUSD,OV2|06bf37|H1|S,
2026-05-04 00:08:29,182300072,2026-05-04T00:08:29+00:00,1777853309089,2026-05-04T00:08:29+00:00,1777853309089,1970-01-01T00:00:00+00:00,1,0,1,4,0,182300009,0,4,0.1,0.0,78967.8,0.0,0.0,78967.8,0.0,BTCUSD,[sl 78967.80],
2026-05-04 00:10:03,182300334,2026-05-04T00:10:03+00:00,1777853403135,2026-05-04T00:10:03+00:00,1777853403135,1970-01-01T00:00:00+00:00,0,0,1,4,0,182298908,0,4,0.1,0.0,2331.146,0.0,0.0,2331.146,0.0,ETHUSD,[sl 2331.146],
2026-05-04 00:10:45,182300437,2026-05-04T00:10:45+00:00,1777853445208,2026-05-04T00:10:45+00:00,1777853445208,1970-01-01T00:00:00+00:00,0,0,1,4,0,182300437,0,3,0.1,0.0,0.0,79000.25,79595.38,79016.75,0.0,BTCUSD,OV2|384b74|H1|B,
2026-05-04 00:12:07,182300594,2026-05-04T00:12:07+00:00,1777853527238,2026-05-04T00:12:07+00:00,1777853527238,1970-01-01T00:00:00+00:00,1,0,1,4,0,182300594,0,3,0.1,0.0,0.0,2333.519,2307.264,2332.019,0.0,ETHUSD,OV2|915f9d|H1|S,
2026-05-04 00:14:25,182300926,2026-05-04T00:14:25+00:00,1777853665741,2026-05-04T00:14:25+00:00,1777853665741,1970-01-01T00:00:00+00:00,0,0,1,4,0,182300069,0,4,0.1,0.0,1.39677,0.0,0.0,1.39677,0.0,XRPUSD,[sl 1.39677],
2026-05-04 00:14:35,182300941,2026-05-04T00:14:35+00:00,1777853675648,2026-05-04T00:14:35+00:00,1777853675648,1970-01-01T00:00:00+00:00,1,0,1,4,0,182300941,0,3,0.1,0.0,0.0,1.39935,1.37767,1.39475,0.0,XRPUSD,OV2|153641|H1|S,
2026-05-04 00:16:57,182301122,2026-05-04T00:16:57+00:00,1777853817218,2026-05-04T00:16:57+00:00,1777853817218,1970-01-01T00:00:00+00:00,1,0,1,4,0,182300437,0,4,0.1,0.0,79000.25,0.0,0.0,79000.25,0.0,BTCUSD,[sl 79000.25],
2026-05-04 00:19:25,182301361,2026-05-04T00:19:25+00:00,1777853965003,2026-05-04T00:19:25+00:00,1777853965003,1970-01-01T00:00:00+00:00,0,0,1,4,0,182301361,0,3,0.1,0.0,0.0,78950.61,79377.37,78969.11,0.0,BTCUSD,OV2|2b7a9f|H1|B,
2026-05-04 00:24:42,182301820,2026-05-04T00:24:42+00:00,1777854282373,2026-05-04T00:24:42+00:00,1777854282373,1970-01-01T00:00:00+00:00,1,0,1,4,0,182301361,0,4,0.1,0.0,78950.61,0.0,0.0,78950.61,0.0,BTCUSD,[sl 78950.61],
2026-05-04 00:25:43,182301907,2026-05-04T00:25:43+00:00,1777854343380,2026-05-04T00:25:43+00:00,1777854343380,1970-01-01T00:00:00+00:00,0,0,1,4,0,182301907,0,3,0.1,0.0,0.0,78915.16,79288.49,78931.66,0.0,BTCUSD,OV2|70776d|H1|B,
2026-05-04 00:26:42,182302004,2026-05-04T00:26:42+00:00,1777854402036,2026-05-04T00:26:42+00:00,1777854402036,1970-01-01T00:00:00+00:00,1,0,1,4,0,182301907,0,4,0.1,0.0,78915.16,0.0,0.0,78915.16,0.0,BTCUSD,[sl 78915.16],
2026-05-04 00:26:43,182302010,2026-05-04T00:26:43+00:00,1777854403101,2026-05-04T00:26:43+00:00,1777854403101,1970-01-01T00:00:00+00:00,0,0,1,4,0,182302010,0,3,0.1,0.0,0.0,78902.49,79282.69,78920.99,0.0,BTCUSD,OV2|439b29|H1|B,
2026-05-04 00:30:26,182302413,2026-05-04T00:30:26+00:00,1777854626522,2026-05-04T00:30:26+00:00,1777854626522,1970-01-01T00:00:00+00:00,1,0,1,4,0,182302010,0,4,0.1,0.0,78902.49,0.0,0.0,78902.49,0.0,BTCUSD,[sl 78902.49],
2026-05-04 01:02:48,182304961,2026-05-04T01:02:48+00:00,1777856568249,2026-05-04T01:02:48+00:00,1777856568252,1970-01-01T00:00:00+00:00,0,0,1,4,0,182300594,0,4,0.1,0.0,2333.519,0.0,0.0,2333.519,0.0,ETHUSD,[sl 2333.519],
2026-05-04 01:02:50,182305108,2026-05-04T01:02:50+00:00,1777856570436,2026-05-04T01:02:50+00:00,1777856570436,1970-01-01T00:00:00+00:00,0,0,1,4,0,182300941,0,4,0.1,0.0,1.39935,0.0,0.0,1.39935,0.0,XRPUSD,[sl 1.39935],
2026-05-04 01:03:33,182305291,2026-05-04T01:03:33+00:00,1777856613746,2026-05-04T01:03:33+00:00,1777856613747,1970-01-01T00:00:00+00:00,1,0,1,4,0,182305291,0,3,0.1,0.0,0.0,1.40095,1.37735,1.39505,0.0,XRPUSD,OV2|de47b0|H4|S,
2026-05-04 01:04:06,182305514,2026-05-04T01:04:06+00:00,1777856646519,2026-05-04T01:04:06+00:00,1777856646520,1970-01-01T00:00:00+00:00,1,0,1,4,0,182305514,0,3,0.1,0.0,0.0,2338.843,2301.824,2337.414,0.0,ETHUSD,OV2|531305|H1|S,
