symbol,timeframe,bars,from,to,file
US500,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US500\US500_D1.csv
USOIL+,M1,4120,2026-02-27 23:28,2026-03-04 23:24,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_M1.csv
USOIL+,M5,825,2026-02-27 23:30,2026-03-04 23:25,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_M5.csv
USOIL+,M15,275,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_M15.csv
USOIL+,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_H1.csv
USOIL+,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_H4.csv
USOIL+,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USOIL+\USOIL+_D1.csv
BTCUSD,M1,7121,2026-02-27 23:28,2026-03-04 23:24,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_M1.csv
BTCUSD,M5,1428,2026-02-27 23:30,2026-03-04 23:25,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_M5.csv
BTCUSD,M15,477,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_M15.csv
BTCUSD,H1,120,2026-02-28 00:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_H1.csv
BTCUSD,H4,30,2026-02-28 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_H4.csv
BTCUSD,D1,5,2026-02-28 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\BTCUSD\BTCUSD_D1.csv
USDJPY,M1,2914,2026-02-27 23:28,2026-03-04 00:04,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_M1.csv
USDJPY,M5,583,2026-02-27 23:30,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_M5.csv
USDJPY,M15,195,2026-02-27 23:30,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_M15.csv
USDJPY,H1,49,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_H1.csv
USDJPY,H4,13,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_H4.csv
USDJPY,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\USDJPY\USDJPY_D1.csv
GBPUSD,M1,3064,2026-02-27 23:28,2026-03-04 02:36,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_M1.csv
GBPUSD,M5,614,2026-02-27 23:30,2026-03-04 02:35,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_M5.csv
