ts_open,ts_close,duration_s,dir,size,open_price,close_price,beat,z_price,state,reason_exit,rest_counter,spreads_est,fr_moment,MT5_RETCODE,pnl_net
2019-10-31 16:00:00,2019-11-01 12:00:00,72000.0,BUY,1.0,1511.8,1507.82,450,-0.063,ATOMIC_CORE,ALPHA_LOSS,0,25,0.06281407035175851,10009_DONE,-423.0000000000018
2019-11-01 16:00:00,2019-11-06 08:00:00,403200.0,BUY,1.0,1510.66,1488.66,450,-0.2375,ATOMIC_CORE,ALPHA_LOSS,0,25,0.011363636363636364,10009_DONE,-2225.0
2019-11-06 12:00:00,2019-11-07 20:00:00,115200.0,BUY,1.0,1488.89,1468.47,450,0.0381,ATOMIC_CORE,ALPHA_LOSS,0,25,0.01224289911851122,10009_DONE,-2067.0000000000073
2019-11-08 00:00:00,2019-11-12 20:00:00,417600.0,BUY,1.0,1467.26,1456.28,450,0.0266,ATOMIC_CORE,ALPHA_LOSS,0,25,0.02276867030965388,10009_DONE,-1123.0000000000018
2019-11-13 00:00:00,2019-11-20 12:00:00,648000.0,BUY,1.0,1457.81,1471.83,450,-0.3704,ATOMIC_CORE,ALPHA_LOSS,0,25,0.01783166904422256,10009_DONE,1376.9999999999982
2019-11-20 16:00:00,2019-12-02 20:00:00,1051200.0,BUY,1.0,1471.35,1462.47,450,-0.0993,ATOMIC_CORE,ALPHA_LOSS,0,25,0.028153153153153528,10009_DONE,-912.9999999999882
2019-12-03 00:00:00,2019-12-04 08:00:00,115200.0,BUY,1.0,1462.83,1474.23,450,0.1845,ATOMIC_CORE,ALPHA_LOSS,0,25,0.021929824561403334,10009_DONE,1115.000000000009
2019-12-04 12:00:00,2019-12-04 16:00:00,14400.0,BUY,1.0,1477.5,1473.94,450,0.4686,ATOMIC_CORE,ALPHA_LOSS,0,25,0.07022471910112467,10009_DONE,-380.99999999999454
2019-12-04 20:00:00,2019-12-10 08:00:00,475200.0,BUY,1.0,1474.3,1464.3,450,-0.122,ATOMIC_CORE,ALPHA_LOSS,0,25,0.025,10009_DONE,-1025.0
2019-12-10 12:00:00,2019-12-20 16:00:00,878400.0,BUY,1.0,1466.98,1477.24,450,0.0979,ATOMIC_CORE,ALPHA_LOSS,0,25,0.02436647173489281,10009_DONE,1000.9999999999991
2019-12-20 20:00:00,2019-12-23 12:00:00,230400.0,BUY,1.0,1477.9,1483.2,450,-0.4459,ATOMIC_CORE,ALPHA_LOSS,0,25,0.04716981132075512,10009_DONE,504.99999999999545
2019-12-23 16:00:00,2019-12-27 20:00:00,360000.0,BUY,1.0,1483.89,1510.69,450,-0.4535,ATOMIC_CORE,ALPHA_LOSS,0,25,0.00932835820895524,10009_DONE,2654.9999999999955
2019-12-30 00:00:00,2019-12-31 12:00:00,129600.0,BUY,1.0,1514.12,1520.75,450,-0.2204,ATOMIC_CORE,ALPHA_LOSS,0,25,0.0377073906485665,10009_DONE,638.0000000000109
2019-12-31 16:00:00,2020-01-03 20:00:00,273600.0,BUY,1.0,1522.64,1551.44,450,-0.053,ATOMIC_CORE,ALPHA_LOSS,0,25,0.00868055555555557,10009_DONE,2854.9999999999955
2020-01-06 00:00:00,2020-01-06 04:00:00,14400.0,BUY,1.0,1577.7,1574.87,450,0.0387,ATOMIC_CORE,ALPHA_LOSS,0,25,0.08833922261483616,10009_DONE,-308.00000000001546
2020-01-06 08:00:00,2020-01-08 08:00:00,172800.0,BUY,1.0,1577.2,1583.62,450,0.3781,ATOMIC_CORE,ALPHA_LOSS,0,25,0.03894080996884829,10009_DONE,616.9999999999845
2020-01-08 12:00:00,2020-01-14 08:00:00,504000.0,BUY,1.0,1576.67,1543.99,450,-0.4562,ATOMIC_CORE,ALPHA_LOSS,0,25,0.007649938800489581,10009_DONE,-3293.0000000000064
2020-01-14 12:00:00,2020-01-21 08:00:00,590400.0,BUY,1.0,1544.06,1555.79,450,-0.0555,ATOMIC_CORE,ALPHA_LOSS,0,25,0.021312872975277033,10009_DONE,1148.0000000000018
2020-01-21 12:00:00,2020-01-23 20:00:00,201600.0,BUY,1.0,1553.2,1562.79,450,-0.1678,ATOMIC_CORE,ALPHA_LOSS,0,25,0.026068821689259867,10009_DONE,933.9999999999918
2020-01-24 00:00:00,2020-01-27 08:00:00,288000.0,BUY,1.0,1561.77,1582.62,450,0.0146,ATOMIC_CORE,ALPHA_LOSS,0,25,0.011990407673860963,10009_DONE,2059.999999999991
2020-01-27 12:00:00,2020-01-30 20:00:00,288000.0,BUY,1.0,1581.29,1573.79,450,0.2355,ATOMIC_CORE,ALPHA_LOSS,0,25,0.03333333333333333,10009_DONE,-775.0
2020-01-31 00:00:00,2020-02-05 12:00:00,475200.0,BUY,1.0,1573.85,1554.37,450,-0.1333,ATOMIC_CORE,ALPHA_LOSS,0,25,0.012833675564681712,10009_DONE,-1973.0000000000018
2020-02-05 16:00:00,2020-02-19 04:00:00,1166400.0,BUY,1.0,1557.62,1602.89,450,-0.4187,ATOMIC_CORE,ALPHA_LOSS,0,25,0.005522421029379255,10009_DONE,4502.000000000021
2020-02-19 08:00:00,2020-02-19 12:00:00,14400.0,BUY,1.0,1608.85,1603.23,450,0.0123,ATOMIC_CORE,ALPHA_LOSS,0,25,0.04448398576512542,10009_DONE,-586.9999999999891
2020-02-19 16:00:00,2020-02-20 04:00:00,43200.0,BUY,1.0,1607.55,1609.32,450,-0.0442,ATOMIC_CORE,ALPHA_LOSS,0,25,0.1412429378531088,10009_DONE,151.99999999999818
