2026-03-16 01:41:14,463 | INFO | [+] Conectado ao MT5. Operando: XAUUSD
2026-03-16 01:41:14,465 | INFO | 🚀 OMEGA V5.22.0 PREDATOR ATIVO EM CONTA DEMO
2026-03-16 01:41:20,520 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:41:30,536 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:41:40,549 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:41:50,561 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:00,574 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:10,587 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:20,602 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:30,616 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:40,628 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:42:50,642 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:00,651 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:10,663 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:20,677 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:30,692 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:40,707 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:43:50,719 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:00,731 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:10,742 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:20,755 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:30,769 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:40,783 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:44:50,799 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: CAMINHADA
2026-03-16 01:45:00,813 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:45:10,824 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:45:20,837 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:45:30,853 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:45:40,867 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:45:50,881 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:00,896 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:10,908 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:20,923 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:30,937 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:40,951 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:46:50,964 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:47:00,976 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
2026-03-16 01:47:10,989 | INFO | 🛰️ STATUS: LIVE | Equity: 1,064.51 | Pos: 0 | State: REPOUSO
