time,open,high,low,close,volume
2018-01-23,10219.570000,11105.470000,10219.570000,10907.480000,2266
2018-01-24,10925.510000,11254.380000,10414.550000,11149.200000,6821
2018-01-25,11126.820000,11635.630000,10828.750000,11182.370000,7122
2018-01-26,11161.270000,11554.950000,10238.670000,10764.010000,7005
2018-01-29,11842.950000,11849.950000,11018.500000,11203.950000,3272
2018-01-30,11183.950000,11185.930000,10697.960000,10697.960000,4048
2018-01-31,9673.950000,9721.350000,9653.950000,9684.350000,53
2018-02-02,8703.700000,9086.500000,8001.400000,9053.000000,3537
2018-02-05,8145.200000,8268.800000,6590.540000,6719.700000,6678
2018-02-06,6733.550000,7787.650000,5976.050000,7779.350000,4087
2018-02-07,7759.650000,8413.400000,7191.900000,8024.620000,5322
2018-02-08,7612.550000,8550.670000,7508.910000,8189.180000,4215
2018-02-09,8169.020000,8649.510000,8065.000000,8422.900000,1685
2018-02-12,8229.130000,8835.440000,7946.900000,8749.160000,6237
2018-02-13,8770.190000,8859.010000,8284.110000,8497.240000,10431
2018-02-14,8481.530000,9291.930000,8407.510000,9205.260000,10508
2018-02-15,10128.510000,10130.550000,9779.970000,9806.630000,2074
2018-02-16,10021.740000,10077.050000,9632.610000,10000.810000,6677
2018-02-19,10501.190000,10571.780000,10235.320000,10517.900000,4006
2018-02-20,11570.830000,11668.670000,11467.780000,11629.630000,2269
2018-02-21,10460.070000,10602.200000,10164.110000,10181.990000,3330
2018-02-22,10200.840000,10245.620000,9655.670000,9819.880000,5570
2018-02-23,9840.950000,10327.350000,9518.660000,9883.480000,8445
2018-02-26,9579.760000,10261.950000,9301.510000,10231.010000,3956
2018-02-27,10243.940000,10620.950000,10065.300000,10493.290000,2428
2018-02-28,10514.950000,10780.300000,10335.990000,10361.950000,1647
2018-03-01,10343.370000,10923.170000,10191.010000,10844.220000,2779
2018-03-02,10840.950000,11064.490000,10720.950000,10975.500000,2112
2018-03-05,11358.950000,11634.950000,11348.410000,11503.100000,2427
2018-03-06,11501.030000,11536.810000,11411.070000,11411.070000,128
2018-03-07,10306.950000,10306.950000,10299.940000,10299.940000,5
2018-03-08,9231.220000,9316.060000,9125.630000,9255.110000,854
2018-03-09,9244.130000,9321.400000,8585.740000,8999.620000,11808
2018-03-12,9425.030000,9815.150000,8727.660000,8934.650000,15216
2018-03-13,9030.950000,9393.940000,8779.030000,8980.950000,16237
2018-03-14,9019.250000,9263.830000,8126.500000,8211.000000,7116
2018-03-15,7977.760000,8334.400000,7586.950000,8175.950000,1988
2018-03-16,8230.240000,8502.950000,7845.320000,8456.560000,1454
2018-03-19,8158.400000,8628.940000,7975.040000,8357.770000,5296
2018-03-20,8338.330000,9001.170000,8268.240000,8851.390000,81258
2018-03-21,8938.340000,9138.150000,8717.380000,8821.700000,63997
2018-03-22,8866.480000,9047.810000,8451.100000,8529.600000,79635
2018-03-23,8554.490000,8715.160000,8230.900000,8532.670000,66451
2018-03-26,8579.660000,8602.800000,7794.260000,7827.410000,70753
2018-03-27,7832.160000,8219.060000,7691.280000,7971.000000,107414
2018-03-28,7939.000000,8074.500000,7705.500000,7877.000000,131814
2018-03-29,7814.240000,7973.000000,7079.500000,7084.500000,128600
2018-03-30,7020.650000,7304.500000,6554.000000,6750.000000,169172
2018-04-02,6768.930000,7077.000000,6706.370000,6895.500000,145074
2018-04-03,6919.570000,7481.000000,6916.710000,7383.000000,127064
2018-04-04,7371.660000,7411.500000,6688.000000,6803.000000,114586
2018-04-05,6770.000000,6877.500000,6534.250000,6705.000000,151003
2018-04-06,6667.450000,6805.750000,6463.000000,6564.000000,97300
2018-04-09,6954.450000,7135.250000,6570.250000,6622.750000,90257
2018-04-10,6659.480000,6821.500000,6611.500000,6799.000000,62968
2018-04-11,6799.220000,6922.000000,6738.250000,6846.500000,49569
2018-04-12,6850.940000,8019.750000,6720.500000,7684.250000,73797
2018-04-13,7776.880000,8182.500000,7706.500000,8029.500000,94012
2018-04-16,8256.040000,8367.500000,7859.000000,7946.250000,70377
2018-04-17,7965.720000,8121.000000,7774.250000,7871.250000,77099
2018-04-18,7856.160000,8185.750000,7821.000000,8145.000000,62153
2018-04-19,8144.450000,8257.750000,8050.250000,8191.750000,65692
2018-04-20,8213.910000,8515.500000,8174.000000,8458.500000,50838
2018-04-23,8864.990000,8959.750000,8717.250000,8886.250000,52960
2018-04-24,8881.090000,9422.250000,8873.000000,9410.500000,53467
2018-04-25,9415.250000,9720.000000,8730.250000,9025.750000,117195
2018-04-26,9115.920000,9131.000000,8602.750000,9066.000000,80908
2018-04-27,9049.500000,9334.000000,9025.500000,9056.000000,55626
2018-04-30,9276.500000,9403.000000,9073.500000,9233.000000,44891
2018-05-01,9176.750000,9238.000000,8784.250000,8969.250000,61403
2018-05-02,9020.000000,9146.750000,8934.500000,9124.750000,47174
2018-05-03,9182.750000,9708.250000,9113.750000,9620.500000,51994
2018-05-04,9604.900000,9772.480000,9478.750000,9615.500000,65114
2018-05-07,9478.060000,9605.500000,9135.250000,9395.000000,65969
2018-05-08,9339.330000,9420.000000,9003.500000,9117.750000,46571
2018-05-09,9124.510000,9325.750000,8931.000000,9196.800000,43163
2018-05-10,9208.020000,9347.500000,9011.500000,9029.370000,50137
2018-05-11,9066.250000,9066.250000,8467.250000,8543.250000,73114
2018-05-14,8616.000000,8845.750000,8242.750000,8802.000000,72833
2018-05-15,8694.500000,8811.500000,8388.500000,8492.750000,68060
2018-05-16,8430.700000,8511.500000,8061.000000,8246.500000,68724
2018-05-17,8233.300000,8449.000000,8078.250000,8160.000000,45327
2018-05-18,8097.210000,8235.250000,7884.250000,8184.000000,58580
2018-05-21,8469.000000,8548.500000,8268.000000,8341.900000,49788
2018-05-22,8328.960000,8386.500000,8040.750000,8068.000000,52208
2018-05-23,8015.430000,8057.750000,7393.250000,7545.750000,70447
2018-05-24,7603.250000,7687.000000,7228.500000,7512.750000,74415
2018-05-25,7489.000000,7621.000000,7288.250000,7396.000000,63854
2018-05-28,7286.000000,7399.000000,7127.500000,7181.000000,57043
2018-05-29,7111.250000,7486.750000,7011.000000,7457.000000,45562
2018-05-30,7429.240000,7520.250000,7228.500000,7297.500000,51296
2018-05-31,7278.220000,7559.500000,7275.160000,7470.630000,46305
2018-06-01,7485.360000,7567.250000,7308.750000,7375.000000,67788
2018-06-04,7627.360000,7715.000000,7407.750000,7484.000000,70618
2018-06-05,7477.990000,7624.000000,7314.500000,7586.000000,85541
2018-06-06,7529.810000,7644.250000,7441.250000,7581.250000,93451
2018-06-07,7603.100000,7701.000000,7594.750000,7617.750000,52504
2018-06-08,7598.430000,7653.000000,7496.750000,7605.250000,34410
2018-06-11,6710.000000,6788.500000,6602.500000,6718.750000,68874
2018-06-12,6729.250000,6867.750000,6402.750000,6485.750000,32538
2018-06-13,6492.740000,6581.000000,6078.050000,6212.250000,42370
2018-06-14,6208.110000,6664.750000,6207.740000,6607.250000,42512
2018-06-15,6601.500000,6619.500000,6422.250000,6434.750000,38499
2018-06-18,6450.000000,6749.250000,6342.750000,6684.500000,25205
2018-06-19,6655.920000,6792.750000,6628.250000,6652.500000,19803
2018-06-20,6665.050000,6768.750000,6513.000000,6708.750000,14812
2018-06-21,6658.180000,6746.500000,6643.000000,6679.000000,14891
2018-06-22,6651.850000,6710.750000,5968.750000,6009.000000,27429
2018-06-25,6090.850000,6299.000000,6034.550000,6206.750000,29112
2018-06-26,6217.000000,6233.500000,6084.750000,6139.500000,25933
2018-06-27,6151.440000,6177.500000,5946.550000,6083.000000,27680
2018-06-28,6089.250000,6137.500000,5983.250000,6000.500000,22709
2018-06-29,5856.050000,5916.750000,5741.750000,5859.750000,40153
2018-07-02,6303.330000,6627.500000,6229.000000,6576.500000,51314
2018-07-03,6583.610000,6624.250000,6493.250000,6568.750000,54241
2018-07-04,6556.860000,6756.500000,6368.000000,6641.500000,42708
2018-07-05,6624.920000,6656.500000,6403.750000,6463.000000,65816
2018-07-06,6452.500000,6597.750000,6409.000000,6533.000000,44684
2018-07-09,6712.250000,6715.500000,6618.750000,6660.000000,38820
2018-07-10,6688.250000,6777.250000,6286.500000,6352.500000,70274
2018-07-11,6335.750000,6363.750000,6231.550000,6318.500000,35541
2018-07-12,6329.250000,6346.000000,6095.140000,6135.500000,35884
2018-07-13,6133.500000,6303.750000,6037.750000,6141.000000,36884
2018-07-16,6341.000000,6681.440000,6287.250000,6625.000000,34290
2018-07-17,6630.690000,7434.000000,6609.500000,7278.000000,45564
2018-07-18,7313.310000,7554.750000,7203.250000,7305.000000,42486
2018-07-19,7298.250000,7496.500000,7248.000000,7384.750000,33597
2018-07-20,7404.750000,7652.250000,7240.250000,7321.000000,36046
2018-07-23,7328.050000,7766.250000,7304.750000,7666.750000,40051
2018-07-24,7706.710000,8321.000000,7654.500000,8192.000000,46806
2018-07-25,8211.030000,8445.250000,8023.500000,8150.010000,37682
2018-07-26,8242.990000,8277.250000,8068.250000,8098.500000,24814
2018-07-27,7917.460000,8247.750000,7762.250000,8201.240000,28750
2018-07-31,8098.990000,8104.240000,7617.500000,7656.490000,21300
2018-08-01,7672.490000,7737.990000,7425.740000,7447.740000,27464
2018-08-02,7438.740000,7671.740000,7402.990000,7508.990000,21274
2018-08-03,7493.490000,7539.490000,7249.490000,7349.990000,16684
2018-08-06,7012.240000,7128.490000,6839.490000,6881.740000,14673
2018-08-07,6826.990000,7111.990000,6805.490000,6839.490000,22894
2018-08-08,6718.990000,6760.990000,6084.490000,6284.490000,40316
2018-08-09,6268.490000,6517.240000,6153.740000,6476.240000,32162
2018-08-10,6546.240000,6579.990000,6266.240000,6337.990000,46291
2018-08-13,6331.240000,6505.740000,6115.240000,6242.240000,37753
2018-08-14,6202.240000,6249.990000,5834.740000,6036.740000,50543
2018-08-15,6076.740000,6594.740000,6041.490000,6339.740000,55810
2018-08-16,6323.740000,6443.490000,6172.240000,6217.490000,48897
2018-08-17,6217.990000,6524.240000,6195.240000,6444.490000,53839
2018-08-20,6481.000000,6512.490000,6348.740000,6417.240000,31608
2018-08-21,6410.990000,6442.990000,6191.240000,6418.490000,28178
2018-08-22,6422.240000,6724.490000,6251.240000,6293.240000,34756
2018-08-23,6339.240000,6448.730000,6211.740000,6381.480000,22343
2018-08-24,6429.230000,6605.740000,6409.240000,6573.240000,19258
2018-08-27,6643.740000,6727.740000,6612.490000,6680.990000,14594
2018-08-28,6675.240000,7091.990000,6674.490000,7048.740000,19930
2018-08-29,7052.490000,7084.740000,6860.240000,7010.240000,17408
2018-08-30,6998.240000,7031.740000,6755.750000,6878.250000,21210
2018-08-31,6887.250000,7052.750000,6845.250000,7007.500000,22511
2018-09-03,7251.750000,7294.250000,7152.750000,7262.250000,16488
2018-09-04,7265.250000,7367.750000,7195.000000,7325.500000,17907
2018-09-05,7321.750000,7348.750000,6817.250000,6913.500000,19762
2018-09-06,6900.250000,6943.000000,6185.750000,6403.250000,30817
2018-09-07,6400.250000,6490.750000,6289.750000,6410.500000,30616
2018-09-10,6350.750000,6351.250000,6148.750000,6264.250000,30583
2018-09-11,6263.250000,6369.750000,6134.250000,6215.750000,32171
2018-09-12,6212.250000,6314.000000,6159.250000,6267.500000,38376
2018-09-13,6263.250000,6494.250000,6256.250000,6429.750000,46852
2018-09-14,6426.750000,6545.500000,6342.750000,6497.000000,52328
2018-09-17,6464.750000,6494.250000,6169.000000,6178.000000,29252
2018-09-18,6207.250000,6344.250000,6181.750000,6280.750000,19622
2018-09-19,6275.750000,6485.250000,6068.500000,6380.750000,25191
2018-09-20,6391.250000,6407.250000,6302.750000,6339.250000,21244
2018-09-21,6332.250000,6929.250000,6322.250000,6673.500000,35138
2018-09-24,6638.750000,6684.000000,6534.260000,6587.170000,43455
2018-09-25,6588.420000,6594.380000,6287.890000,6348.020000,38535
2018-09-26,6350.520000,6508.250000,6328.020000,6469.150000,19422
2018-09-27,6467.750000,6705.990000,6398.790000,6663.220000,24061
2018-09-28,6675.720000,6757.210000,6487.340000,6610.500000,37144
2018-10-01,6522.610000,6610.600000,6454.510000,6522.550000,20643
2018-10-02,6522.050000,6580.610000,6420.400000,6500.770000,35508
2018-10-03,6503.020000,6509.820000,6371.600000,6405.740000,30951
2018-10-04,6409.240000,6584.700000,6381.740000,6525.100000,33335
2018-10-05,6522.600000,6573.550000,6497.190000,6517.160000,43467
2018-10-08,6506.510000,6636.680000,6502.990000,6591.570000,34720
2018-10-09,6594.320000,6598.320000,6524.070000,6550.370000,35169
2018-10-10,6543.370000,6569.690000,6422.830000,6509.430000,30002
