ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state,pnl_net_fx,is_win,churn_flag,equity,dd,dd_pct
2012-05-24 00:00:00,2012-05-29 00:00:00,432000.0,buy,0.1,1558.86,1554.93,-39.3,2.5,0.5,0.7,7.5,11.2,-50.5,ALPHA_EJECT,-1.3807,AUDITED,-50.5,False,False,9949.5,0.0,0.0
2013-04-12 02:00:00,2013-04-15 00:00:00,252000.0,buy,0.1,1488.0,1347.62,-1403.8,2.5,0.5,0.7,4.375,8.075,-1411.875,STOP_LOSS,0.9411,AUDITED,-1411.875,False,False,8537.625,1411.875,14.190411578471279
2013-04-16 00:00:00,2013-04-26 00:00:00,864000.0,buy,0.1,1367.1,1461.35,942.5,2.5,0.5,0.7,15.0,18.7,923.8,ALPHA_EJECT,-0.2139,AUDITED,923.8,True,False,9461.425,488.0750000000007,4.905522890597524
2013-12-19 02:00:00,2013-12-20 00:00:00,79200.0,buy,0.1,1187.8,1202.91,151.1,2.5,0.5,0.7,1.375,5.075,146.025,ALPHA_EJECT,0.1462,AUDITED,146.025,True,False,9607.45,342.0499999999993,3.4378611990552215
2016-02-12 02:00:00,2016-02-18 02:00:00,518400.0,buy,0.1,1237.7,1230.7,-70.0,2.5,0.5,0.7,9.0,12.7,-82.7,ALPHA_EJECT,1.2334,AUDITED,-82.7,False,False,9524.75,424.75,4.269058746670687
2016-05-09 01:00:00,2016-05-10 05:00:00,100800.0,buy,0.1,1285.4,1264.6,-208.0,2.5,0.5,0.7,1.75,5.45,-213.45,ALPHA_EJECT,-0.3905,AUDITED,-213.45,False,False,9311.3,638.2000000000007,6.414392683049407
2016-05-12 23:00:00,2016-05-17 03:00:00,360000.0,buy,0.1,1268.1,1279.1,110.0,2.5,0.5,0.7,6.25,9.95,100.05,ALPHA_EJECT,-0.2117,AUDITED,100.05,True,False,9411.35,538.1499999999996,5.408814513292121
2016-05-19 01:00:00,2016-05-19 11:00:00,36000.0,buy,0.1,1260.2,1254.6,-56.0,2.5,0.5,0.7,0.625,4.325,-60.325,ALPHA_EJECT,-0.1572,AUDITED,-60.325,False,False,9351.025,598.4750000000004,6.015126388260721
2016-05-24 01:00:00,2016-05-25 05:00:00,100800.0,buy,0.1,1249.3,1228.4,-209.0,2.5,0.5,0.7,1.75,5.45,-214.45,ALPHA_EJECT,-0.2613,AUDITED,-214.45,False,False,9136.575,812.9249999999993,8.170511080958835
2016-05-27 01:00:00,2016-05-27 12:00:00,39600.0,buy,0.1,1221.9,1219.0,-29.0,2.5,0.5,0.7,0.6875,4.3875,-33.3875,ALPHA_EJECT,0.1565,AUDITED,-33.3875,False,False,9103.1875,846.3125,8.506080707573245
2016-05-30 01:00:00,2016-05-30 11:00:00,36000.0,buy,0.1,1207.5,1205.3,-22.0,2.5,0.5,0.7,0.625,4.325,-26.325,ALPHA_EJECT,-0.0262,AUDITED,-26.325,False,False,9076.8625,872.6375000000007,8.7706668676818
2016-06-03 01:00:00,2016-06-03 08:00:00,25200.0,buy,0.1,1207.8,1211.9,41.0,2.5,0.5,0.7,0.4375,4.1375,36.8625,ALPHA_EJECT,-0.3623,AUDITED,36.8625,True,False,9113.725,835.7749999999996,8.400170862857427
2016-06-06 01:00:00,2016-06-06 07:00:00,21600.0,buy,0.1,1248.1,1241.4,-67.0,2.5,0.5,0.7,0.375,4.075,-71.075,ALPHA_EJECT,-1.322,AUDITED,-71.075,False,False,9042.65,906.8500000000004,9.114528368259716
2016-06-08 01:00:00,2016-06-10 03:00:00,180000.0,buy,0.1,1243.8,1267.4,236.0,2.5,0.5,0.7,3.125,6.825,229.175,ALPHA_EJECT,-0.3721,AUDITED,229.175,True,False,9271.824999999999,677.6750000000011,6.8111462887582395
2016-06-13 01:00:00,2016-06-14 02:00:00,90000.0,buy,0.1,1277.3,1282.9,56.0,2.5,0.5,0.7,1.5625,5.2625,50.7375,ALPHA_EJECT,-0.3383,AUDITED,50.7375,True,False,9322.5625,626.9375,6.301196040002011
