time,Y,X,Beta,Spread,Z_Score
2026-03-20 14:35:00,4667.33,72.158,26.480717897363572,-9.373759789134965,0.3780476703986685
2026-03-20 14:36:00,4666.48,72.1,26.53892011624479,-8.652365910191293,0.4566737424492433
2026-03-20 14:37:00,4664.38,72.058,26.59280813236957,-9.602148745648265,0.3411022022420125
2026-03-20 14:38:00,4661.9,71.952,26.63205140500584,-9.22150393749871,0.3818649578859983
2026-03-20 14:39:00,4666.83,72.12,26.652192604581394,-8.73381107619116,0.4350171973328196
2026-03-20 14:40:00,4671.96,72.297,26.66951812321783,-8.296438474845672,0.48179429427631765
2026-03-20 14:41:00,4671.22,72.3,26.69528919177784,-9.09515870024461,0.38028793391122506
2026-03-20 14:42:00,4672.28,72.351,26.71648155880166,-9.374210572400443,0.34221447599891436
2026-03-20 14:43:00,4671.76,72.331,26.733242853997815,-9.33676789065521,0.3429829864066302
2026-03-20 14:44:00,4669.41,72.278,26.74727580075825,-10.245872705153488,0.22711576579420947
2026-03-20 14:45:00,4669.96,72.295,26.77047014582518,-10.123896121675898,0.23993047060782208
2026-03-20 14:46:00,4671.37,72.297,26.781566710873072,-8.741220360353509,0.4109427600079538
2026-03-20 14:47:00,4668.16,72.181,26.78967433776572,-8.821069359095418,0.3960798602335905
2026-03-20 14:48:00,4668.06,72.131,26.813629537341157,-7.553753773508106,0.5526741542802933
2026-03-20 14:49:00,4665.51,72.026,26.834121117895297,-7.261873157898663,0.5827746965176968
2026-03-20 14:50:00,4664.16,71.995,26.854743477671867,-7.752867485634852,0.5118873749004413
2026-03-20 14:51:00,4659.38,71.87,26.869231601437928,-9.147209769943402,0.3241781463143931
2026-03-20 14:52:00,4662.61,71.974,26.893135416032848,-8.676032767017205,0.3825242838804338
2026-03-20 14:53:00,4665.32,72.093,26.921725112699956,-9.135722687698035,0.3172446473965318
2026-03-20 14:54:00,4662.86,72.064,26.937681565591184,-10.786015415812471,0.09258261665037879
2026-03-20 14:55:00,4664.41,72.102,26.95118558550014,-10.226689026507302,0.16743239289270304
2026-03-20 14:56:00,4667.87,72.189,26.968819201737517,-9.081557835320382,0.3221670168151936
2026-03-20 14:57:00,4669.98,72.2,26.983095506609395,-7.243040250089507,0.570963714705176
2026-03-20 14:58:00,4671.48,72.125,26.98948889020327,-3.6991346286113185,1.046110603342951
2026-03-20 14:59:00,4671.54,72.172,26.998455043230113,-4.896812025178406,0.862775190603283
2026-03-20 15:00:00,4678.41,72.353,27.00132900433629,-2.9005947929090325,1.1174998384605515
2026-03-20 15:01:00,4682.55,72.39,26.99032642585094,0.24916630711959442,1.5072778900527382
2026-03-20 15:02:00,4678.16,72.391,26.981675023263087,-4.166954200491091,0.8807480458830053
2026-03-20 15:03:00,4680.91,72.358,26.973083647819088,-0.5154232179284008,1.3471562903061454
