time,Y,X,Beta,Spread,Z_Score,PnL_Net_Pts
2026-03-20 14:05:00,4658.37,72.232,24.17184386380899,-21.453323706296032,-0.886530480417358,-4.829776127934599
2026-03-20 14:06:00,4656.66,72.142,24.253568646299215,-20.938903833643963,-0.8247228920954698,-4.659977261497302
2026-03-20 14:07:00,4657.95,72.105,24.35521267773816,-18.68945770238679,-0.6084817792717933,-8.410939588862215
2026-03-20 14:08:00,4662.44,72.166,24.4545813755211,-15.632959643175127,-0.323264197775935,-11.169136684050198
2026-03-20 14:09:00,4663.94,72.228,24.552441357366593,-15.608564814609053,-0.31748333681503454,-10.711947670103127
2026-03-20 14:10:00,4657.92,72.143,24.646738406895714,-19.48838733957018,-0.6719195308281832,-6.428519923963362
2026-03-20 14:11:00,4661.01,72.23,24.751672534108422,-18.481527288584402,-0.5688550198385594,-8.720292016569314
2026-03-20 14:12:00,4659.24,72.167,24.849748036066416,-18.63386582627936,-0.5756075615906566,-9.130825852046671
2026-03-20 14:13:00,4663.88,72.216,24.94859495282211,-15.159236748341755,-0.2413271636081264,-12.743955261101902
2026-03-20 14:14:00,4662.64,72.184,25.03585001239639,-15.561416716405802,-0.27695630909480257,-13.663428771967805
2026-03-20 14:15:00,4662.22,72.148,25.128932102011444,-15.03038490900417,-0.22312443528103143,-14.13912075793366
2026-03-20 14:16:00,4661.05,72.141,25.21476442247082,-15.978931693445702,-0.3125202484868841,-11.468471888508638
2026-03-20 14:17:00,4661.12,72.207,25.304408556618952,-17.529186868404395,-0.46037976878508435,-10.175459929892302
2026-03-20 14:18:00,4663.56,72.25,25.392576465198843,-16.132799914806128,-0.3175001550035092,-10.078073973052811
2026-03-20 14:19:00,4665.12,72.258,25.471838043277117,-14.73888434222863,-0.17569353801856477,-11.277479905402952
2026-03-20 14:20:00,4668.12,72.281,25.550791680459824,-12.294876438644678,0.07101154607132715,-14.53509387401742
2026-03-20 14:21:00,4664.2,72.174,25.629945191467158,-13.448964537193206,-0.04650105002815382,-15.301768588206441
2026-03-20 14:22:00,4660.36,72.104,25.7166449792254,-15.450594177712446,-0.2506490224751281,-12.76266758051226
2026-03-20 14:23:00,4660.42,72.042,25.806557373980226,-13.740101372781282,-0.07150176087852197,-15.198439997657339
2026-03-20 14:24:00,4662.84,72.029,25.902648244169022,-10.926755340270574,0.2224114124850039,-20.236749221641073
2026-03-20 14:25:00,4661.82,72.017,25.983199854579798,-11.585775766801817,0.15075243168625635,-18.825009600905783
2026-03-20 14:26:00,4660.6,71.976,26.046261003536912,-11.688215732496246,0.13833466929809335,-17.236015962859753
2026-03-20 14:27:00,4661.04,72.029,26.102995488182646,-12.580760412813106,0.04116832248650247,-13.99070244275077
2026-03-20 14:28:00,4660.35,72.007,26.162724845303423,-12.643070155810165,0.03400552070802599,-9.452850452472779
2026-03-20 14:29:00,4665.38,72.096,26.221429570472722,-9.894301640143567,0.33453937509829423,-14.033657876531333
2026-03-20 14:30:00,4664.35,72.099,26.26648470844377,-10.968571173948476,0.21220477625118428,-10.567897029662463
2026-03-20 14:31:00,4669.71,72.277,26.308038047918245,-10.253913937039215,0.28967833101530965,-7.615347190096182
2026-03-20 14:32:00,4669.2,72.258,26.34418034671468,-10.237079111009734,0.28844975527872607,-13.594049958284028
2026-03-20 14:33:00,4665.5,72.179,26.383067996940714,-11.826142098609125,0.10489436644711556,-7.712899467624171
2026-03-20 14:34:00,4666.94,72.167,26.431774516477624,-10.033356147991071,0.30944448747331865,-7.586837329560897
2026-03-20 14:35:00,4667.33,72.158,26.480717897363572,-9.373759789134965,0.3824052777392978,-8.21254894970804
2026-03-20 14:36:00,4666.48,72.1,26.53892011624479,-8.652365910191293,0.46224818869238615,-10.688799887262798
2026-03-20 14:37:00,4664.38,72.058,26.59280813236957,-9.602148745648265,0.3449401837613485,-8.261951829090487
2026-03-20 14:38:00,4661.9,71.952,26.63205140500584,-9.22150393749871,0.38627803189664867,-5.1316063869152675
2026-03-20 14:39:00,4666.83,72.12,26.652192604581394,-8.73381107619116,0.44024018741363674,-3.112911221047437
2026-03-20 14:40:00,4671.96,72.297,26.66951812321783,-8.296438474845672,0.4877932247757749,-1.052400173892515
2026-03-20 14:41:00,4671.22,72.3,26.69528919177784,-9.09515870024461,0.3846780513297207,-1.4715226043563128
2026-03-20 14:42:00,4672.28,72.351,26.71648155880166,-9.374210572400443,0.34606766253279114,-3.7840670542881956
2026-03-20 14:43:00,4671.76,72.331,26.733242853997815,-9.33676789065521,0.3468466940174002,-7.111605950291816
2026-03-20 14:44:00,4669.41,72.278,26.74727580075825,-10.245872705153488,0.2295192188692415,-7.273052821859213
2026-03-20 14:45:00,4669.96,72.295,26.77047014582518,-10.123896121675898,0.24248435888222958,-5.379782963237872
2026-03-20 14:46:00,4671.37,72.297,26.781566710873072,-8.741220360353509,0.41578997772269993,-8.208969669390664
