time,Alpha,Beta,Spread,Z_Score
2026-03-20 14:35:00,2765.908117751174,26.480717897363572,-9.373759789134965,0.3824052777392978
2026-03-20 14:36:00,2761.6762255289423,26.53892011624479,-8.652365910191293,0.46224818869238615
2026-03-20 14:37:00,2757.757580343362,26.59280813236957,-9.602148745648265,0.3449401837613485
2026-03-20 14:38:00,2754.892141244518,26.63205140500584,-9.22150393749871,0.38627803189664867
2026-03-20 14:39:00,2753.407680433781,26.652192604581394,-8.73381107619116,0.44024018741363674
2026-03-20 14:40:00,2752.130286720566,26.66951812321783,-8.296438474845672,0.4877932247757749
2026-03-20 14:41:00,2750.2457501347076,26.69528919177784,-9.09515870024461,0.3846780513297207
2026-03-20 14:42:00,2748.6900533115413,26.71648155880166,-9.374210572400443,0.34606766253279114
2026-03-20 14:43:00,2747.454579018139,26.733242853997815,-9.33676789065521,0.3468466940174002
2026-03-20 14:44:00,2746.4162723779486,26.74727580075825,-10.245872705153488,0.2295192188692415
2026-03-20 14:45:00,2744.7127569292443,26.77047014582518,-10.123896121675898,0.24248435888222958
2026-03-20 14:46:00,2743.884291864363,26.781566710873072,-8.741220360353509,0.41578997772269993
2026-03-20 14:47:00,2743.2755859848276,26.78967433776572,-8.821069359095418,0.4007025592138062
2026-03-20 14:48:00,2741.519841615553,26.813629537341157,-7.553753773508106,0.5599767064677934
2026-03-20 14:49:00,2740.0174655203728,26.834121117895297,-7.261873157898663,0.5906822794002288
2026-03-20 14:50:00,2738.5056108106482,26.854743477671867,-7.752867485634852,0.518419948762391
2026-03-20 14:51:00,2737.4355345746,26.869231601437928,-9.147209769943402,0.3277879601070198
2026-03-20 14:52:00,2735.6795043334687,26.893135416032848,-8.676032767017205,0.3869469731623143
2026-03-20 14:53:00,2733.5877941378194,26.921725112699956,-9.135722687698035,0.3207626688673573
2026-03-20 14:54:00,2732.4089310730487,26.937681565591184,-10.786015415812471,0.09352129792534641
2026-03-20 14:55:00,2731.4023059407755,26.95118558550014,-10.226689026507302,0.16916356523297094
2026-03-20 14:56:00,2730.0994684810908,26.968819201737517,-9.081557835320382,0.32575010651766556
2026-03-20 14:57:00,2729.0435446728907,26.983095506609395,-7.243040250089507,0.5786300307577845
2026-03-20 14:58:00,2728.5622484227,26.98948889020327,-3.6991346286113185,1.0686238117856581
2026-03-20 14:59:00,2727.9043146451745,26.998455043230113,-4.896812025178406,0.8781414775966209
2026-03-20 15:00:00,2727.683437342165,27.00132900433629,-2.9005947929090325,1.1433939791674552
2026-03-20 15:01:00,2728.4711037255306,26.99032642585094,0.24916630711959442,1.5589933318569529
2026-03-20 15:02:00,2729.0965175914525,26.981675023263087,-4.166954200491091,0.8967256084796207
2026-03-20 15:03:00,2729.707036629035,26.973083647819088,-0.5154232179284008,1.3866137391597824
2026-03-20 15:04:00,2730.370858057191,26.96387544270894,1.4596715878433315,1.618360763167957
2026-03-20 15:05:00,2730.995187775215,26.955283576954546,1.9695413124336483,1.630801029174158
2026-03-20 15:06:00,2731.509359238315,26.9482318363639,0.9102908783024759,1.4323248383036145
2026-03-20 15:07:00,2730.8337462562904,26.957618305513993,2.567806469272,1.6081766739428753
2026-03-20 15:08:00,2729.8973884668067,26.970671152577776,6.265268813280272,2.032211915756793
2026-03-20 15:09:00,2729.442178043403,26.97719754240304,9.506231110604858,2.341872398128558
2026-03-20 15:10:00,2728.4910905199786,26.99070090524493,13.253271227192272,2.6534593365646915
2026-03-20 15:11:00,2727.4189189641984,27.006001196033566,13.747134550614646,2.5159623422567403
2026-03-20 15:12:00,2726.7866830645203,27.015222719555695,12.506804523673054,2.212005169617105
2026-03-20 15:13:00,2726.980607238228,27.013008003014296,9.905541760447704,1.8176182990838312
2026-03-20 15:14:00,2726.473355372314,27.02040684035314,9.420250282526467,1.693138800817883
2026-03-20 15:15:00,2725.6564578064867,27.03206090680776,12.682592030810156,1.958580739359966
2026-03-20 15:16:00,2726.0928432139617,27.026497892808237,11.861526225099624,1.7882775328587384
2026-03-20 15:17:00,2725.670523677319,27.03278486295533,8.088195683938466,1.3544148880438
2026-03-20 15:18:00,2724.897299836236,27.04380327860998,11.298899382545642,1.6225770513970363
2026-03-20 15:19:00,2724.2874667553597,27.052655791743533,10.388045139414317,1.4803895410953973
2026-03-20 15:20:00,2723.1595026278164,27.06861390407685,8.741396864684248,1.2820235632793457
2026-03-20 15:21:00,2723.407561423358,27.065494574604074,10.204096014395873,1.3835612414118565
2026-03-20 15:22:00,2723.3172475092124,27.067128138968013,11.135251050450279,1.4292731208621148
2026-03-20 15:23:00,2723.3089255023697,27.067667761376576,10.624258747484419,1.3408323403411107
2026-03-20 15:24:00,2722.539412288204,27.078742537399616,7.990896574990984,1.068151421388761
2026-03-20 15:25:00,2721.5795419030283,27.09233828797574,4.75909539656368,0.7562807460525777
2026-03-20 15:26:00,2720.0133639583128,27.114194825636925,3.5865380599479977,0.6390633939658549
2026-03-20 15:27:00,2717.997358295477,27.142248192213188,2.8265768845330967,0.5613876921009303
2026-03-20 15:28:00,2716.52719107888,27.162721489647193,4.292829204123336,0.6876121011407507
2026-03-20 15:29:00,2714.882108407598,27.185664559142168,-0.3673304954691048,0.2508483186264373
2026-03-20 15:30:00,2712.471207796383,27.219058999322353,0.232085163523152,0.3036006828292264
2026-03-20 15:31:00,2710.3691346563755,27.248192768084053,1.9528751984298651,0.4608079906767231
2026-03-20 15:32:00,2708.233530893711,27.277854029115392,-1.7493593559411238,0.10720238186563195
2026-03-20 15:33:00,2705.491289100764,27.31578743080656,-1.4267736068204613,0.13675168796567738
2026-03-20 15:34:00,2702.8255586674572,27.352671157758415,1.749171397092141,0.4398825449430922
2026-03-20 15:35:00,2701.0893905133016,27.376800555043644,0.17751993909769226,0.2827507493070074
2026-03-20 15:36:00,2699.702201960397,27.396029162594097,-1.5276579879609926,0.11336913648834736
2026-03-20 15:37:00,2698.1946587550665,27.416861994522257,-0.15179260703644104,0.24777742972829736
