entry_idx,exit_idx,pnl,mae,mfe
772,782,-2.089999999999236,10.769999999999527,7.910000000000764
5442,5444,-1.2800000000006548,12.600000000000364,8.719999999999345
6498,6533,5.460000000000036,10.710000000000036,15.460000000000036
7830,7839,16.63000000000011,9.969999999999345,26.63000000000011
8228,8232,2.350000000000364,17.18000000000029,12.350000000000364
8508,8511,-5.649999999999636,9.919999999999163,4.350000000000364
8630,8641,11.099999999999454,12.220000000000255,21.099999999999454
8678,8681,-6.600000000000364,19.950000000000728,3.399999999999636
8689,8692,-5.25,12.86999999999989,4.75
9146,9158,-8.5600000000004,9.94000000000051,2.5
10908,10924,40.210000000000036,5.650000000000546,50.210000000000036
10929,10932,-9.989999999999782,11.069999999999709,4.130000000000109
13268,13271,-0.9600000000000364,7.960000000000036,9.039999999999964
13393,13398,-7.389999999999418,13.789999999999964,4.699999999999818
20168,20173,-7.550000000000182,11.820000000000618,3.699999999999818
22763,22781,-7.75,8.579999999999927,3.8400000000001455
24189,24196,-5.380000000000109,10.4399999999996,4.619999999999891
24458,24460,-7.140000000000327,9.640000000000327,2.8599999999996726
26666,26683,55.05000000000018,14.650000000000546,65.05000000000018
27107,27111,-9.980000000000473,11.240000000000691,0.18999999999959982
29207,29215,-0.5,12.770000000000437,9.5
29910,29930,0.5900000000001455,10.11999999999989,10.590000000000146
30561,30563,0.6499999999996362,22.94000000000051,10.649999999999636
30567,30570,-0.10999999999967258,19.859999999999673,9.890000000000327
30729,30733,-7.5600000000004,10.779999999999745,5.170000000000073
30884,30887,3.2000000000007276,35.029999999999745,16.860000000000582
30892,30895,0.8000000000001819,19.219999999999345,12.730000000000473
30896,30898,-4.860000000000582,14.3100000000004,5.139999999999418
31157,31162,4.050000000000182,11.779999999999745,14.050000000000182
31669,31697,-0.9200000000000728,7.849999999999454,9.079999999999927
32125,32128,-9.760000000000218,12.020000000000437,2.6700000000000728
32538,32540,4.3400000000001455,11.730000000000473,14.340000000000146
33801,33803,-0.42000000000007276,12.600000000000364,10.669999999999163
33918,33920,-10.0,13.409999999999854,0.8999999999996362
34639,34642,-8.899999999999636,12.25,1.1000000000003638
34667,34672,-1.949999999999818,10.75,8.050000000000182
34845,34847,-5.199999999999818,11.679999999999382,4.800000000000182
34855,34857,-8.099999999999454,13.609999999999673,1.9000000000005457
34999,35002,1.3500000000003638,12.9399999999996,11.350000000000364
35045,35048,-8.75,10.6299999999992,3.1700000000000728
35094,35097,-4.799999999999272,12.769999999999527,5.200000000000728
35139,35141,-9.569999999999709,13.819999999999709,0.5100000000002183
35298,35301,-9.260000000000218,14.920000000000073,0.7399999999997817
36093,36096,-5.4399999999996,8.61999999999989,4.5600000000004
36460,36466,-5.039999999999964,10.989999999999782,4.960000000000036
36509,36535,-4.309999999999491,11.510000000000218,5.690000000000509
36687,36689,0.31999999999970896,10.910000000000764,10.80999999999949
36738,36746,-6.390000000000327,10.140000000000327,3.6099999999996726
37281,37284,-4.720000000000255,23.660000000000764,5.279999999999745
37463,37467,-10.0,12.1299999999992,2.3200000000006185
37524,37526,13.800000000000182,38.13000000000011,23.800000000000182
37676,37680,-10.0,10.090000000000146,1.3099999999994907
37726,37730,19.220000000000255,10.480000000000473,29.220000000000255
37939,37941,-1.680000000000291,7.369999999999891,8.319999999999709
37958,37960,-8.850000000000364,12.070000000000618,8.6899999999996
37979,37980,-10.0,26.909999999999854,2.219999999999345
37981,37982,-10.0,18.4399999999996,6.630000000000109
37984,37985,-10.0,17.75,4.6899999999996
38057,38058,-10.0,36.82999999999993,6.550000000000182
38060,38062,4.3100000000004,9.479999999999563,14.3100000000004
38100,38104,2.6299999999991996,11.470000000000255,12.6299999999992
38119,38120,-10.0,22.76000000000022,1.269999999999527
38125,38127,-5.170000000000073,13.960000000000036,4.829999999999927
38158,38160,-5.430000000000291,13.19000000000051,4.569999999999709
38181,38183,-9.590000000000146,9.889999999999418,6.300000000000182
38239,38244,-6.869999999999891,9.139999999999418,4.850000000000364
38317,38322,16.74000000000069,11.710000000000036,26.74000000000069
38403,38406,0.2600000000002183,12.8100000000004,10.260000000000218
38481,38484,-0.23000000000047294,13.489999999999782,9.769999999999527
38520,38523,2.5100000000002183,28.850000000000364,12.510000000000218
38653,38662,11.69000000000051,10.920000000000073,21.69000000000051
38812,38815,-8.639999999999418,9.86999999999989,3.850000000000364
38867,38874,23.979999999999563,10.19000000000051,33.97999999999956
38928,38930,35.61000000000058,66.53999999999996,54.400000000000546
38932,38933,-10.0,39.02000000000044,24.960000000000036
38937,38939,6.930000000000291,29.31999999999971,58.26000000000022
39101,39105,11.150000000000546,8.069999999999709,22.06999999999971
39148,39149,-10.0,10.9399999999996,4.9399999999996
